month,av_flow
1,29.646132016522422
2,45.18834271588946
3,82.66331480173092
4,205.79494698292683
5,351.46673745082614
6,378.2787653455284
7,279.9226658678206
8,201.92766373996852
9,64.93241912243903
10,33.770614841856805
11,14.598135862682927
12,19.084416750826122
